"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Justin Toerner","STL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".238",".317",".380",".697",".301","","86","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3006735"
"Luis Villegas","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".215",".272",".337",".609",".263","","59","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa547944"
"Emmanuel Rivera","KCR","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".248",".291",".371",".662",".282","","71","0.0","0.0","","0.0","0.0","0.0","","999.0","sa875798"
"Irving Lopez","STL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".240",".296",".360",".656",".282","","74","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3002878"
"Kungkuan Giljegiljaw","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".215",".270",".341",".611",".263","","59","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa830277"
"Trenton Brooks","CLE","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".246",".307",".399",".706",".301","","83","0.0","0.0","","0.0","0.0","0.0","","999.0","sa873268"
"Anthony Payne","CHC","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".223",".273",".350",".622",".267","","62","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa876024"
"Kevin Cron","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".236",".310",".460",".770",".322","","98","0.0","0.0","","0.0","0.0","0.0","","999.0","16211"
"JT Riddle","MIN","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".234",".278",".370",".648",".275","","67","0.0","0.0","","0.0","0.0","0.0","","999.0","17642"
"Eric Peterson","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".231",".287",".373",".661",".282","","72","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3004405"
"Justin Smoak","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".221",".328",".419",".747",".319","","97","0.0","0.0","","0.0","0.0","0.0","","600.8","9054"
"Austin Rei","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".206",".281",".326",".606",".265","","57","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa659079"
"Martin Cervenka","NYM","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".211",".270",".330",".600",".260","","61","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa492636"
"Christopher Hinojosa","HOU","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".239",".293",".336",".629",".272","","70","0.0","0.0","","0.0","0.0","0.0","","999.0","sa658616"
"Kellin Deglan","NYY","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".202",".262",".337",".600",".258","","57","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa548189"
"Blake Perkins","KCR","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".222",".303",".339",".642",".281","","70","0.0","0.0","","0.0","0.0","0.0","","999.0","sa874806"
"Cameron Maybin","NYM","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".239",".321",".377",".698",".302","","85","0.0","0.0","","0.0","0.0","0.0","","999.0","5223"
"Evan Mendoza","STL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".245",".296",".357",".653",".281","","73","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3002836"
"Maxwell McDowell","NYY","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".204",".280",".303",".583",".257","","56","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa875626"
"Nathan Mondou","OAK","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".232",".300",".316",".616",".271","","70","0.0","0.0","","0.0","0.0","0.0","","999.0","sa873282"
"Dilson Herrera","TOR","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".225",".291",".399",".690",".292","","80","0.0","0.0","","0.0","0.0","0.0","","999.0","14335"
"Johan Mieses","BOS","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".231",".290",".429",".719",".302","","82","0.0","0.0","","0.0","0.0","0.0","","999.0","sa747574"
"Alexander Alvarez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".211",".272",".333",".606",".261","","58","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa826656"
"Kean Wong","LAA","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".239",".298",".346",".644",".279","","71","0.0","0.0","","0.0","0.0","0.0","","999.0","15994"
"Steven Souza Jr.","LAD","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".224",".324",".408",".731",".314","","86","0.0","0.0","","0.0","0.0","0.0","","601.0","5667"
"Brian O'Grady","SDP","5","20","17","4","1","0","1","2","2","2","6","0","0","0","",".224",".296",".393",".689",".293","","81","0.0","0.1","","-0.5","-0.1","0.0","","999.0","16729"
"Tyler Austin","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".221",".296",".432",".728",".306","","88","0.0","0.0","","0.0","0.0","0.0","","999.0","11850"
"Elehuris Montero","COL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".253",".302",".424",".725",".306","","72","0.0","0.0","","0.0","0.0","0.0","","599.0","sa872477"
"Shin-Soo Choo","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".232",".334",".385",".719",".312","","92","0.0","0.0","","0.0","0.0","0.0","","600.2","3174"
"Clayton Daniel","LAD","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".246",".298",".343",".641",".278","","72","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3007646"
"Rougned Odor","NYY","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".215",".284",".424",".707",".297","","74","0.0","0.0","","0.0","0.0","0.0","","553.2","12282"
"Dawel Lugo","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".257",".293",".378",".671",".285","","74","0.0","0.0","","0.0","0.0","0.0","","999.0","14713"
"Brian Navarreto","MIA","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".220",".264",".334",".598",".257","","59","0.0","0.0","","-0.1","0.0","0.0","","999.0","16398"
"Andres Sotillo","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".214",".272",".329",".601",".260","","57","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa657546"
"Cade Gotta","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".227",".300",".342",".642",".279","","70","0.0","0.0","","0.0","0.0","0.0","","999.0","sa829411"
"Anthony Recker","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".209",".273",".349",".622",".268","","62","0.0","0.0","","-0.1","0.0","0.0","","999.0","4063"
"Alberto Mineo","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".213",".280",".315",".595",".260","","57","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa660295"
"Gabriel Cancel","KCR","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".234",".285",".370",".654",".279","","69","0.0","0.0","","0.0","0.0","0.0","","999.0","sa875231"
"Oscar Hernandez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".206",".266",".349",".615",".264","","60","0.0","0.0","","-0.1","0.0","0.0","","999.0","13490"
"Charles Madden","BOS","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".210",".264",".349",".613",".263","","55","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa918568"
"Nick Ciuffo","BAL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".211",".271",".330",".601",".260","","58","0.0","0.0","","-0.1","0.0","0.0","","999.0","16291"
"Jose  Garcia","CIN","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".243",".285",".367",".652",".278","","66","0.0","0.0","","0.0","0.0","0.0","","598.9","23378"
"Gavin Sheets","CHW","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".245",".309",".401",".709",".303","","88","0.0","0.0","","0.0","0.0","0.0","","999.0","sa829797"
"Chase Calabuig","OAK","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".237",".314",".345",".659",".288","","81","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3006927"
"Nicholas Rickles","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".214",".261",".351",".612",".261","","58","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa546837"
"Stephen Alemais","PIT","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".241",".298",".328",".626",".273","","66","0.0","0.0","","0.0","0.0","0.0","","999.0","sa874070"
"Wilkin Castillo","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".221",".270",".343",".613",".262","","58","0.0","0.0","","-0.1","0.0","0.0","","999.0","5124"
"Luis Castro","MIL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".246",".318",".413",".731",".312","","90","0.0","0.0","","0.0","0.0","0.0","","999.0","sa736954"
"Tony Sanchez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".215",".275",".324",".600",".261","","58","0.0","0.0","","-0.1","0.0","0.0","","999.0","6178"
"Bruce Caldwell","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".215",".287",".333",".621",".270","","64","0.0","0.0","","0.0","0.0","0.0","","999.0","sa658271"
"Tommy Amburgey","NYY","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".239",".286",".411",".697",".294","","81","0.0","0.0","","0.0","0.0","0.0","","999.0","sa875629"
"Stetson Allie","TBR","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".221",".285",".378",".663",".283","","77","0.0","0.0","","0.0","0.0","0.0","","999.0","sa548192"
"Jan Vazquez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".202",".280",".312",".592",".261","","58","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa501536"
"Renae Martinez","ARI","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".220",".280",".335",".615",".267","","59","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3004255"
"William Toffey","NYM","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".206",".298",".329",".626",".276","","71","0.0","0.0","","0.0","0.0","0.0","","999.0","sa829401"
"Ronny Rodriguez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".238",".277",".394",".670",".283","","72","0.0","0.0","","0.0","0.0","0.0","","999.0","11875"
"Yonny Hernandez","TEX","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".243",".327",".321",".649",".288","","68","0.0","0.0","","0.0","0.0","0.0","","999.0","sa872473"
"Joseph Dunand","MIA","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".225",".281",".334",".615",".266","","65","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3005360"
"Kody Clemens","DET","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".226",".287",".361",".648",".278","","68","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3008002"
"Alan Trejo","COL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".254",".297",".398",".695",".295","","65","0.0","0.0","","0.0","0.0","0.0","","999.0","20056"
"Roberto Pena","MIN","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".209",".274",".321",".595",".259","","57","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa548359"
"Jabari Blash","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".214",".320",".402",".722",".310","","91","0.0","0.0","","0.0","0.0","0.0","","999.0","11247"
"Joshua Ockimey","BOS","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".215",".316",".409",".725",".310","","88","0.0","0.0","","0.0","0.0","0.0","","999.0","sa829375"
"Jodd Carter","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".234",".304",".391",".694",".297","","82","0.0","0.0","","0.0","0.0","0.0","","999.0","sa829534"
"Bobby Wilson","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".195",".259",".314",".573",".249","","50","0.0","0.0","","-0.1","0.0","0.0","","999.0","6564"
"Ronald Freeman","SFG","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".216",".274",".326",".600",".260","","57","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa658013"
"Ryan LaMarre","NYY","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".236",".298",".360",".658",".284","","74","0.0","0.0","","0.0","0.0","0.0","","999.0","10700"
"Edward Forbes","CHW","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".229",".287",".344",".631",".273","","68","0.0","0.0","","0.0","0.0","0.0","","999.0","sa828696"
"David Masters","SEA","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".202",".275",".320",".595",".260","","62","0.0","0.0","","0.0","0.0","0.0","","999.0","sa602586"
"Ronaldo Hernandez","BOS","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".222",".262",".352",".613",".261","","54","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa881850"
"Eddy Alvarez","MIA","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".222",".301",".328",".628",".276","","72","0.0","0.0","","0.0","0.0","0.0","","999.0","16959"
"Juan Gamboa","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".222",".297",".319",".616",".270","","64","0.0","0.0","","0.0","0.0","0.0","","999.0","sa542553"
"Leonys Martin","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".223",".289",".364",".652",".280","","71","0.0","0.0","","0.0","0.0","0.0","","999.0","11846"
"Benjamin DeLuzio","ARI","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".241",".304",".354",".658",".284","","71","0.0","0.0","","0.0","0.0","0.0","","999.0","sa737626"
"Jason Delay","PIT","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".216",".271",".339",".610",".262","","59","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa857222"
"Mike Marjama","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".210",".269",".336",".606",".261","","58","0.0","0.0","","-0.1","0.0","0.0","","999.0","12594"
"Chris Gittens","NYY","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".219",".308",".400",".708",".303","","87","0.0","0.0","","0.0","0.0","0.0","","999.0","18482"
"Jose Fernandez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".261",".313",".418",".731",".309","","90","0.0","0.0","","0.0","0.0","0.0","","999.0","19254"
"Travis Demeritte","ATL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".229",".305",".409",".714",".304","","84","0.0","0.0","","0.0","0.0","0.0","","999.0","15958"
"Brett Pope","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".230",".293",".322",".615",".269","","63","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3004513"
"Ryon Healy","MIL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".253",".301",".453",".754",".315","","92","0.0","0.0","","0.0","0.0","0.0","","999.0","15447"
"Andrew Toles","LAD","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".242",".291",".385",".676",".287","","78","0.0","0.0","","0.0","0.0","0.0","","999.0","13414"
"Gosuke Katoh","SDP","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".224",".302",".333",".635",".278","","71","0.0","0.0","","0.0","0.0","0.0","","999.0","sa737619"
"David Rodriguez","NYM","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".206",".267",".323",".590",".256","","59","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa735825"
"Jesus Sucre","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".233",".281",".336",".617",".266","","61","0.0","0.0","","-0.1","0.0","0.0","","999.0","5942"
"Arismendy Alcantara","SFG","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".234",".292",".369",".661",".282","","74","0.0","0.0","","0.0","0.0","0.0","","999.0","10711"
"Laz Rivera","CHW","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".239",".275",".337",".612",".263","","61","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3004128"
"Michael Reed","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".226",".319",".360",".679",".296","","81","0.0","0.0","","0.0","0.0","0.0","","999.0","13228"
"Logan Moore","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".200",".276",".315",".591",".259","","56","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa598265"
"Hamlet Marte","LAD","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".206",".269",".325",".594",".258","","56","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa597218"
"Josh Altmann","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".211",".286",".355",".641",".277","","69","0.0","0.0","","0.0","0.0","0.0","","999.0","sa875314"
"Weston Wilson","MIL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".225",".286",".374",".661",".282","","70","0.0","0.0","","0.0","0.0","0.0","","999.0","sa873690"
"Stephen McGee","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".182",".284",".294",".578",".259","","56","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa737919"
"Chris Gimenez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".193",".275",".310",".586",".257","","55","0.0","0.0","","-0.1","0.0","0.0","","999.0","7324"
"Boog Powell","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".227",".315",".340",".654",".288","","76","0.0","0.0","","0.0","0.0","0.0","","999.0","15103"
"Mitchell Ghelfi","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".216",".274",".318",".592",".257","","55","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa875890"
"Nathan Lukes","TBR","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".226",".283",".335",".618",".268","","67","0.0","0.0","","0.0","0.0","0.0","","999.0","sa875215"
"Matt Szczur","STL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".235",".317",".375",".692",".300","","86","0.0","0.0","","0.0","0.0","0.0","","999.0","11255"
"Skyler Ewing","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".191",".261",".334",".596",".257","","55","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa827317"
"Delino DeShields","TEX","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".229",".312",".334",".646",".284","","65","0.0","0.0","","0.0","0.0","0.0","","600.7","11379"
"Harris Brodey","NYM","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".223",".281",".357",".637",".273","","70","0.0","0.0","","0.0","0.0","0.0","","999.0","sa829783"
"Hunter Owen","PIT","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".220",".276",".382",".658",".279","","70","0.0","0.0","","0.0","0.0","0.0","","999.0","20034"
"Eric Thames","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".223",".319",".422",".741",".314","","93","0.0","0.0","","0.0","0.0","0.0","","999.0","3711"
"Bryson Brigman","MIA","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".234",".293",".309",".602",".264","","64","0.0","0.0","","0.0","0.0","0.0","","999.0","sa829857"
"Patrick Cantwell","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".208",".278",".309",".588",".258","","56","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa602546"
"Cheslor Cuthbert","NYM","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".239",".300",".410",".710",".301","","81","0.0","0.0","","0.0","0.0","0.0","","999.0","10473"
"Scott Hurst","STL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".228",".289",".350",".639",".276","","70","0.0","0.0","","0.0","0.0","0.0","","999.0","20501"
"Joseph Morgan","DET","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".205",".271",".316",".587",".256","","53","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3004032"
"Alonzo Harris","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".233",".297",".397",".695",".295","","80","0.0","0.0","","0.0","0.0","0.0","","999.0","sa455964"
"Charles Alexander","ATL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".223",".292",".365",".657",".283","","70","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3006912"
"Andrew Velazquez","NYY","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".220",".279",".338",".617",".267","","63","0.0","0.0","","0.0","0.0","0.0","","999.0","14196"
"Carlos Asuaje","LAD","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".233",".312",".335",".647",".283","","76","0.0","0.0","","0.0","0.0","0.0","","999.0","15197"
"Aderlin Rodriguez","DET","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".251",".298",".423",".722",".304","","86","0.0","0.0","","0.0","0.0","0.0","","999.0","sa511026"
"Tyler Friis","MIL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".232",".298",".337",".635",".277","","66","0.0","0.0","","0.0","0.0","0.0","","999.0","sa915593"
"Danny Valencia","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".246",".310",".404",".715",".304","","86","0.0","0.0","","0.0","0.0","0.0","","999.0","6364"
"Riley Unroe","ATL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".235",".307",".340",".648",".283","","70","0.0","0.0","","0.0","0.0","0.0","","999.0","sa737614"
"Carlos Martinez","ATL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".227",".281",".327",".608",".264","","57","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa737214"
"Kennys Vargas","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".221",".302",".403",".705",".300","","84","0.0","0.0","","0.0","0.0","0.0","","999.0","12101"
"Jon Kemmer","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".220",".297",".390",".687",".293","","82","0.0","0.0","","0.0","0.0","0.0","","999.0","sa738208"
"Devon Travis","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".247",".291",".392",".683",".290","","77","0.0","0.0","","0.0","0.0","0.0","","999.0","13862"
"Terry Friedl","CIN","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".244",".318",".382",".701",".302","","81","0.0","0.0","","0.0","0.0","0.0","","999.0","sa943754"
"Marcus Littlewood","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".204",".269",".318",".588",".256","","54","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa548261"
"Jose Pujols","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".228",".290",".404",".694",".294","","80","0.0","0.0","","0.0","0.0","0.0","","999.0","sa739662"
"Thomas Milone","NYY","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".225",".284",".345",".630",".272","","66","0.0","0.0","","0.0","0.0","0.0","","999.0","sa737640"
"LeDarious Clark","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".207",".283",".356",".640",".276","","67","0.0","0.0","","0.0","0.0","0.0","","999.0","sa875568"
"Lars Nootbaar","STL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".242",".306",".377",".683",".293","","81","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3006649"
"Phillip Ervin","ATL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".239",".318",".388",".705",".304","","83","0.0","0.0","","0.0","0.0","0.0","","999.0","14738"
"Alex Kowalczyk","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".209",".265",".327",".592",".256","","54","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa918272"
"Dairon Blanco","KCR","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".232",".285",".352",".638",".274","","65","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3005386"
"Cullen Large","TOR","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".227",".288",".337",".625",".271","","66","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3003959"
"Brett Netzer","BOS","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".240",".296",".347",".643",".278","","66","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3004804"
"Cooper Goldby","OAK","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".189",".259",".301",".560",".245","","52","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa738676"
"Zack Granite","CHW","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".253",".306",".349",".655",".284","","73","0.0","0.0","","0.0","0.0","0.0","","999.0","15343"
"Sergio Alcantara","CHC","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".243",".310",".335",".645",".282","","72","0.0","0.0","","0.0","0.0","0.0","","999.0","16417"
"A.J. Ellis","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".212",".293",".325",".618",".271","","65","0.0","0.0","","-0.1","0.0","0.0","","999.0","5677"
"Daniel Murphy","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".261",".314",".416",".731",".308","","89","0.0","0.0","","0.0","0.0","0.0","","600.8","4316"
"Mitchell Longo","MIL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".247",".303",".380",".683",".293","","77","0.0","0.0","","0.0","0.0","0.0","","999.0","sa874178"
"Richard Urena","TOR","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".233",".277",".343",".620",".266","","62","0.0","0.0","","0.0","0.0","0.0","","999.0","16411"
"Kaleb Cowart","NYY","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".227",".287",".348",".635",".274","","67","0.0","0.0","","0.0","0.0","0.0","","999.0","11494"
"Wilmer Difo","PIT","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".234",".300",".336",".636",".275","","67","0.0","0.0","","0.0","0.0","0.0","","999.0","14320"
"Elliot Soto","LAD","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".228",".288",".321",".610",".266","","65","0.0","0.0","","0.0","0.0","0.0","","999.0","11155"
"Jakson Reetz","WSN","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".202",".275",".327",".602",".263","","56","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa828796"
"Jordan Cowan","SEA","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".233",".296",".303",".599",".265","","65","0.0","0.0","","0.0","0.0","0.0","","999.0","sa738703"
"William Yahn","BAL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".241",".274",".362",".636",".270","","65","0.0","0.0","","0.0","0.0","0.0","","999.0","sa915589"
"Nash Knight","TOR","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".218",".294",".322",".616",".270","","65","0.0","0.0","","0.0","0.0","0.0","","999.0","sa876814"
"Jung Ho Kang","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".218",".276",".407",".684",".288","","76","0.0","0.0","","0.0","0.0","0.0","","999.0","17182"
"James Kerrigan","MIN","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".219",".264",".379",".643",".272","","65","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3005235"
"Roberto Ramos","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".229",".304",".413",".717",".303","","86","0.0","0.0","","0.0","0.0","0.0","","999.0","sa829199"
"Francisco Diaz","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".208",".285",".289",".574",".256","","54","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa505229"
"Manuel Melendez","COL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".270",".306",".401",".707",".300","","69","0.0","0.0","","0.0","0.0","0.0","","999.0","sa828329"
"Luis Carpio","NYM","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".223",".288",".334",".622",".271","","68","0.0","0.0","","0.0","0.0","0.0","","999.0","sa827960"
"Cameron Rupp","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".194",".276",".345",".621",".269","","63","0.0","0.0","","0.0","0.0","0.0","","999.0","11146"
