"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Vladimir Guerrero Jr.","TOR","144","619","548","164","32","3","28","91","95","58","97","6","3","1","",".300",".370",".523",".893",".372","","134","-1.6","-2.3","","25.4","-13.2","3.3","","45.3","19611"
"Kris Bryant","CHC","146","651","552","140","30","3","27","93","81","76","159","15","4","2","",".254",".358",".463",".821",".349","","115","1.1","-2.6","","14.1","-1.3","3.3","","126.0","15429"
"Trent Grisham","SDP","138","604","513","128","23","4","22","85","69","75","134","6","14","5","",".249",".349",".441",".790",".337","","109","-0.4","4.9","","7.1","7.2","3.3","","79.1","18564"
"Jeff McNeil","NYM","150","665","593","171","37","2","19","90","75","49","89","14","8","3","",".289",".354",".456",".810",".343","","115","-0.7","-2.0","","12.8","-0.6","3.3","","96.7","15362"
"Josh Donaldson","MIN","136","591","492","118","24","1","29","85","84","86","148","7","3","1","",".240",".359",".473",".832",".352","","119","-1.3","0.0","","13.0","-0.7","3.2","","191.8","5038"
"Luis Robert","CHW","149","610","554","144","26","3","30","78","86","41","168","7","22","9","",".260",".316",".480",".796",".332","","108","0.4","2.3","","6.7","4.8","3.2","","34.5","20043"
"Yordan Alvarez","HOU","122","511","439","123","24","1","33","79","90","62","125","4","3","1","",".280",".372",".562",".934",".383","","145","-0.7","0.0","","28.5","-14.2","3.1","","79.0","19556"
"Michael Conforto","NYM","150","648","547","139","27","1","32","91","92","85","158","10","7","3","",".255",".362",".482",".843",".355","","124","0.2","-1.7","","20.3","-9.2","3.1","","73.0","16376"
"Anthony Rizzo","CHC","150","663","555","148","29","2","30","97","91","81","101","21","6","3","",".267",".378",".487",".864",".363","","125","-2.9","3.9","","18.7","-8.6","3.1","","106.2","3473"
"Paul DeJong","STL","149","640","566","141","29","1","27","80","85","57","157","11","6","3","",".248",".326",".447",".773",".327","","103","-0.3","0.9","","2.3","8.3","3.0","","250.8","18015"
"Byron Buxton","MIN","136","531","484","125","28","3","25","73","77","34","138","5","20","6","",".258",".311",".485",".796",".331","","105","2.5","4.5","","5.8","6.8","3.0","","109.9","14161"
"Matt Olson","OAK","146","629","539","129","23","1","38","87","98","76","168","9","2","1","",".240",".340",".498",".838",".348","","122","-1.3","5.1","","16.2","-7.4","3.0","","86.4","14344"
"Justin Turner","LAD","126","553","480","133","26","1","22","77","76","55","92","12","2","1","",".276",".362",".470",".832",".353","","121","-1.2","-3.3","","14.3","-1.2","3.0","","200.3","5235"
"Yoan Moncada","CHW","147","650","571","144","28","4","24","84","79","67","190","5","8","3","",".251",".332",".441",".773",".328","","105","0.5","0.5","","4.6","2.9","3.0","","83.5","17232"
"Max Kepler","MIN","146","654","563","138","32","1","30","95","81","74","115","7","7","3","",".246",".338",".468",".807",".340","","111","0.3","4.1","","9.7","-2.9","2.9","","197.7","12144"
"Ke'Bryan Hayes","PIT","138","588","523","146","31","4","19","73","70","51","115","6","9","4","",".279",".348",".461",".808",".340","","110","-0.1","0.9","","7.6","3.2","2.9","","129.0","18577"
"Alec Bohm","PHI","134","554","495","142","27","2","22","70","77","47","98","5","5","2","",".287",".353",".481",".834",".351","","116","-0.3","-1.3","","11.4","0.5","2.9","","999.0","21618"
"Randy Arozarena","TBR","144","607","536","144","26","3","28","83","83","48","143","14","19","8","",".268",".342",".487",".829",".346","","120","-0.4","0.2","","15.2","-7.0","2.9","","59.2","19290"
"Marcell Ozuna","ATL","147","635","560","156","27","1","33","88","103","65","136","4","4","2","",".279",".355",".506",".862",".359","","120","-0.2","-0.1","","16.4","-7.5","2.9","","44.1","10324"
"Andrelton Simmons","MIN","134","563","512","142","30","2","10","65","62","38","56","5","8","3","",".277",".331",".402",".733",".314","","93","0.5","6.9","","-4.2","13.7","2.8","","516.1","10847"
"Aaron Hicks","NYY","134","583","483","115","21","3","22","79","73","89","128","4","8","3","",".239",".359",".434",".792",".340","","112","1.0","-3.5","","9.9","-1.2","2.8","","235.3","5297"
"Ramon Laureano","OAK","149","621","549","135","29","2","23","76","76","51","165","12","10","4","",".245",".321",".430",".751",".319","","102","1.3","0.5","","3.0","2.9","2.7","","144.5","17128"
"Kyle Tucker","HOU","150","622","556","145","27","6","28","84","90","53","133","5","18","7","",".261",".328",".483",".811",".337","","114","0.5","0.9","","11.8","-6.0","2.7","","32.2","18345"
"Pete Alonso","NYM","147","639","550","135","24","1","42","94","102","69","168","14","2","1","",".245",".341",".521",".862",".355","","124","-1.6","0.8","","18.4","-11.5","2.7","","53.1","19251"
"Paul Goldschmidt","STL","150","662","565","149","28","1","29","90","88","86","158","5","4","1","",".263",".362",".470",".832",".352","","119","0.2","1.2","","17.2","-11.3","2.7","","91.4","9218"
"Michael Brantley","HOU","139","606","543","157","32","1","19","78","82","52","79","6","5","2","",".289",".354",".454",".809",".343","","118","-0.3","-0.1","","13.7","-8.3","2.6","","151.0","4106"
"Cavan Biggio","TOR","139","620","515","121","25","2","20","86","66","90","157","6","13","5","",".235",".353",".405",".758",".329","","105","0.1","-1.1","","3.9","1.0","2.6","","68.2","19252"
"Tommy Pham","SDP","131","580","496","134","24","2","21","83","70","71","124","6","16","6","",".270",".365",".450",".816",".348","","117","1.2","-0.5","","13.9","-6.3","2.6","","137.1","2967"
"Adalberto Mondesi","KCR","149","646","599","151","29","7","21","82","77","34","176","4","54","16","",".253",".296",".429",".725",".304","","86","4.4","3.4","","-7.5","10.8","2.5","","25.1","13769"
"Alex Verdugo","BOS","138","588","525","149","35","2","16","77","69","50","95","5","7","3","",".284",".349",".452",".801",".339","","107","0.4","0.5","","5.6","-0.2","2.5","","130.4","17027"
"Sean Murphy","OAK","96","373","326","79","16","1","16","47","48","37","88","4","3","1","",".243",".325",".447",".772",".326","","107","0.2","0.0","","3.4","8.1","2.5","","176.9","19352"
"J.P. Crawford","SEA","150","671","578","139","27","4","14","80","60","74","137","9","13","5","",".240",".333",".376",".709",".309","","95","0.1","-0.7","","-4.6","6.8","2.5","","528.4","15491"
"Ian Happ","CHC","143","608","519","126","24","2","28","83","77","75","177","5","9","4","",".243",".342",".459",".801",".338","","108","0.1","-0.1","","6.8","-0.8","2.5","","159.0","17919"
"Rhys Hoskins","PHI","137","602","491","116","24","2","32","88","86","94","146","10","3","1","",".235",".366",".488",".854",".360","","122","-0.8","1.2","","16.4","-10.3","2.5","","163.2","16472"
"Christian Vazquez","BOS","103","418","381","97","20","1","13","48","50","28","84","3","6","2","",".255",".309",".411",".720",".305","","84","-1.2","2.5","","-9.7","10.1","2.5","","151.1","9774"
"Buster Posey","SFG","98","422","375","95","20","1","8","45","43","38","68","4","2","1","",".254",".327",".374",".701",".304","","88","-1.4","5.0","","-8.2","12.8","2.5","","249.9","9166"
"Brandon Lowe","TBR","131","572","504","122","24","3","26","74","75","54","160","7","6","2","",".242",".321",".453",".774",".326","","107","1.0","0.1","","5.8","-0.8","2.4","","71.6","18882"
"Giancarlo Stanton","NYY","130","554","476","120","21","1","38","84","98","66","173","6","4","2","",".252",".348",".541",".889",".367","","130","-1.0","0.0","","20.3","-14.9","2.4","","111.4","4949"
"Salvador Perez","KCR","123","534","500","128","26","1","28","67","83","20","115","9","3","1","",".257",".295",".484",".779",".323","","98","-1.5","6.1","","-2.8","12.6","2.4","","83.6","7304"
"Willy Adames","MIL","131","526","462","114","23","2","16","60","61","54","144","4","7","3","",".248",".328",".412",".740",".316","","100","0.7","-1.2","","0.6","5.4","2.4","","429.8","15986"
"Nick Madrigal","CHW","141","547","499","153","27","2","7","65","57","32","35","7","19","7","",".306",".353",".414",".767",".329","","106","-0.9","-0.4","","3.3","1.9","2.4","","192.7","20521"
"Luis Arraez","MIN","126","525","470","146","30","2","6","62","54","45","48","3","5","2","",".310",".371",".418",".789",".340","","111","-0.2","-1.0","","7.3","-1.4","2.4","","507.7","18568"
"Tim Anderson","CHW","150","664","620","173","33","2","23","85","79","29","147","6","17","6","",".279",".315",".451",".766",".321","","101","1.5","-8.8","","2.2","-1.3","2.4","","43.3","15172"
"Travis d'Arnaud","ATL","104","439","393","103","19","1","17","55","59","35","102","5","2","1","",".261",".326",".444",".770",".326","","98","-0.9","-2.6","","-2.0","6.1","2.3","","137.9","7739"
"Brian Anderson","MIA","150","647","565","141","29","2","21","75","76","61","151","14","3","2","",".249",".335",".418",".754",".322","","102","0.1","-1.5","","1.9","1.0","2.3","","284.7","18289"
"Starling Marte","MIA","144","639","583","160","32","3","19","79","75","35","116","13","22","7","",".275",".328",".440",".768",".325","","104","1.6","-4.1","","4.7","-1.7","2.3","","49.9","9241"
"Max Muncy","LAD","132","566","463","109","18","1","27","81","76","90","144","7","3","1","",".236",".365",".455",".820",".349","","119","-0.1","2.1","","13.9","-8.5","2.3","","102.1","13301"
"J.D. Martinez","BOS","149","647","566","157","33","1","34","94","105","70","151","5","3","1","",".278",".360",".524",".885",".365","","125","-2.3","-0.3","","18.2","-17.4","2.3","","93.7","6184"
"Brandon Nimmo","NYM","120","524","423","103","20","4","15","72","53","81","128","13","7","3","",".243",".377",".418",".795",".346","","117","0.4","-6.4","","12.4","-6.0","2.3","","264.0","12927"
"Joc Pederson","CHC","126","545","472","118","24","3","29","79","75","56","118","9","4","2","",".251",".339",".498",".837",".349","","115","-0.1","1.1","","10.8","-5.4","2.2","","230.7","11899"
"Jorge Polanco","MIN","131","586","524","141","30","3","16","78","67","50","99","5","8","4","",".270",".336",".432",".768",".327","","102","0.1","-2.2","","1.7","0.7","2.2","","259.7","13152"
"Javier Baez","CHC","150","646","601","153","32","4","30","81","97","33","181","5","12","5","",".255",".297",".471",".768",".318","","95","1.3","-2.6","","-3.0","4.9","2.2","","71.8","12979"
"David Fletcher","LAA","147","654","591","165","33","2","8","80","59","50","72","4","8","3","",".280",".338",".386",".724",".313","","94","0.0","1.4","","-4.9","3.9","2.1","","235.9","17992"
"Kyle Seager","SEA","144","613","543","129","28","1","26","72","80","58","124","7","5","2","",".237",".317",".434",".750",".316","","100","-1.0","0.4","","-1.3","1.7","2.1","","295.6","9785"
