"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","SB","CS","AVG","OBP","SLG","OPS","wOBA","ADP","-1","InterSD","InterSK","IntraSD","playerid"
"Brandon Belt","SFG","132","535","455","116","27","2","20","67","66","73","116","2","1",".255",".361",".454",".815",".352","491.7","","2.06","-1.75","0.24","10264"
"Jorge Soler","KCR","141","585","508","125","25","1","32","74","88","65","171","2","1",".245",".338",".488",".826",".351","141.7","","3.14","0.41","1.04","14221"
"Josh Bell","WSN","140","587","510","133","26","2","28","79","89","66","130","1","1",".261",".347",".485",".832",".351","136.4","","2.89","-0.09","0.84","13145"
"Joey Gallo","TEX","147","602","508","109","23","2","39","84","90","84","217","5","2",".214",".333",".495",".828",".351","142.6","","2.38","-1.19","1.86","14128"
"Bo Bichette","TOR","143","626","579","166","39","4","24","92","84","41","127","21","7",".286",".335",".488",".824",".350","25.1","","1.85","-0.90","0.72","19612"
"Franmil Reyes","CLE","147","601","536","139","24","1","34","77","91","56","169","0","0",".259",".330",".499",".829",".350","157.6","","3.13","0.24","1.06","14566"
"Nick Castellanos","CIN","150","647","589","157","39","4","30","94","90","48","161","2","2",".267",".327",".500",".827",".350","78.3","","2.49","-0.40","0.90","11737"
"Shohei Ohtani","LAA","116","456","406","106","22","2","21","62","66","45","124","14","4",".262",".339",".480",".818",".349","154.1","","4.18","-0.41","0.64","19755"
"Ketel Marte","ARI","145","624","568","164","33","6","20","81","74","45","81","6","2",".288",".344",".476",".820",".348","76.6","","4.89","0.45","0.81","13613"
"Matt Chapman","OAK","139","592","526","129","30","4","31","85","85","56","157","1","1",".246",".324",".496",".820",".347","115.9","","2.20","0.39","1.06","16505"
"Kris Bryant","CHC","143","626","542","140","29","3","25","90","75","66","150","2","1",".258",".353",".461",".814",".347","126.0","","2.42","0.56","0.71","15429"
"Brandon Lowe","TBR","139","577","511","129","27","3","28","80","85","55","164","6","2",".253",".332",".483",".815",".347","71.6","","4.55","-0.05","0.60","18882"
"Michael Brantley","HOU","130","558","503","147","31","2","16","71","71","46","70","5","1",".292",".355",".454",".809",".347","151.0","","3.48","-0.73","0.99","4106"
"Yandy Diaz","TBR","107","449","388","106","18","1","12","57","45","57","75","1","1",".274",".369",".422",".791",".347","547.0","","4.04","-0.57","0.83","16578"
"Tommy Pham","SDP","128","551","478","127","22","2","18","73","63","65","118","21","5",".266",".360",".434",".794",".347","137.1","","2.34","-0.08","0.99","2967"
"Mark Canha","OAK","143","585","492","121","25","3","22","79","73","70","132","6","1",".246",".356",".441",".797",".346","265.1","","2.64","-0.73","0.45","11445"
"Nate Lowe","TEX","112","449","392","101","19","1","19","58","59","51","123","3","1",".258",".347",".457",".804",".346","470.3","","3.17","0.02","0.35","19566"
"Dominic Smith","NYM","128","506","458","122","28","1","22","65","76","39","120","1","1",".267",".331",".480",".811",".345","130.1","","2.49","0.59","0.59","15653"
"Jose Altuve","HOU","140","613","553","155","29","2","21","94","73","51","98","9","4",".281",".346",".459",".806",".345","92.4","","4.11","-0.26","0.66","5417"
"Rowdy Tellez","TOR","114","450","402","104","21","0","23","60","67","38","99","1","1",".259",".327",".489",".816",".345","337.5","","1.92","1.94","0.52","15679"
"Ozzie Albies","ATL","148","640","589","164","35","5","24","94","83","42","116","14","4",".279",".331",".480",".811",".345","35.7","","2.40","-0.20","0.40","16556"
"Joc Pederson","CHC","140","524","459","110","23","2","28","74","71","52","118","3","2",".240",".330",".482",".811",".345","230.7","","5.20","-1.57","0.73","11899"
"Alex Verdugo","BOS","146","602","544","157","37","2","17","84","63","47","100","9","2",".288",".348",".454",".802",".345","130.4","","3.50","1.27","0.96","17027"
"Cavan Biggio","TOR","146","637","532","128","28","3","22","93","72","96","162","17","4",".240",".361",".425",".785",".345","68.2","","4.28","-0.01","1.09","19252"
"Mike Yastrzemski","SFG","145","609","536","137","30","5","24","87","76","62","155","6","3",".255",".338",".465",".803",".344","138.5","","4.67","0.18","0.50","14854"
"Mitch Garver","MIN","96","368","323","80","16","1","18","53","52","38","111","0","0",".246",".331",".473",".805",".344","208.7","","4.31","0.68","0.42","15161"
"Ke'Bryan Hayes","PIT","146","580","520","143","31","5","17","75","68","50","117","8","3",".275",".345",".454",".798",".344","129.0","","3.62","-0.90","0.51","18577"
"Alec Bohm","PHI","140","595","534","150","28","2","20","78","78","51","111","4","2",".281",".346",".452",".798",".343","999.0","","3.65","-0.24","0.69","21618"
"Austin Meadows","TBR","137","580","517","133","28","4","26","79","76","53","146","11","4",".258",".331",".477",".807",".343","77.5","","5.73","-0.03","0.26","15672"
"Clint Frazier","NYY","123","506","445","112","24","2","22","67","67","51","138","6","2",".252",".335",".466",".801",".343","175.4","","4.58","-0.33","0.22","15983"
"Nolan Arenado","STL","151","653","580","156","29","2","30","85","96","60","94","1","1",".269",".337",".482",".819",".343","43.7","","3.58","-0.57","0.95","9777"
"Trent Grisham","SDP","143","616","527","131","25","5","23","89","70","77","145","18","4",".249",".348",".445",".793",".343","79.1","","4.62","0.59","0.88","18564"
"Yasmani Grandal","CHW","128","519","434","100","19","1","23","67","69","77","134","2","1",".232",".350",".439",".789",".343","131.4","","2.25","0.16","0.66","11368"
"Joey Votto","CIN","134","576","487","124","25","1","19","77","61","82","112","2","1",".254",".365",".428",".794",".342","396.5","","5.37","-0.07","0.43","4314"
"Kyle Tucker","HOU","150","618","560","146","30","6","27","90","93","51","135","20","6",".260",".326",".480",".806",".342","32.2","","3.35","-0.42","0.73","18345"
"Trey Mancini","BAL","124","525","473","126","23","2","23","68","69","42","119","1","1",".266",".331",".470",".800",".341","156.8","","2.77","1.95","0.50","15149"
"Ian Happ","CHC","144","584","505","124","24","2","27","78","74","70","169","6","3",".244",".341",".461",".802",".341","159.0","","2.57","0.48","0.61","17919"
"Luis Arraez","MIN","113","463","419","131","26","2","4","58","44","37","41","3","2",".312",".368",".412",".779",".341","507.7","","6.24","-1.67","1.81","18568"
"Aaron Hicks","NYY","133","554","467","111","22","3","22","80","69","79","119","9","3",".237",".349",".434",".783",".341","235.3","","2.57","-1.15","0.65","5297"
"Daniel Vogelbach","MIL","63","250","210","47","8","0","12","31","32","37","62","0","0",".226",".346",".437",".782",".340","598.7","","6.45","0.91","0.84","14130"
"J.T. Realmuto","PHI","129","531","480","128","25","2","23","76","76","39","118","8","2",".267",".331",".474",".805",".340","48.1","","3.01","0.12","0.13","11739"
"Mike Moustakas","CIN","148","612","545","138","27","1","34","75","96","54","116","3","1",".252",".325",".491",".816",".340","118.7","","4.08","-0.27","1.07","4892"
"Francisco Lindor","NYM","150","669","601","160","33","2","29","94","82","56","103","18","6",".267",".334",".472",".806",".340","18.7","","3.83","-0.81","0.46","12916"
"Willson Contreras","CHC","122","488","424","107","21","2","19","65","65","46","120","2","2",".252",".342",".445",".787",".339","120.3","","4.14","0.83","0.19","11609"
"J.D. Davis","NYM","114","458","406","106","21","1","17","56","54","45","110","2","1",".262",".342",".443",".784",".339","281.8","","3.01","1.24","0.47","16219"
"Yoan Moncada","CHW","148","642","569","147","29","5","24","85","79","64","190","7","3",".259",".336",".454",".790",".339","83.5","","2.16","-1.01","0.39","17232"
"Mitch Haniger","SEA","126","543","476","119","25","2","23","73","68","53","135","6","2",".250",".334",".456",".790",".339","223.8","","3.95","-0.13","0.28","14274"
"Yasiel Puig","","52","215","194","51","10","1","10","28","30","18","45","6","2",".261",".329",".468",".797",".339","527.7","","8.36","0.05","1.29","14225"
"Miguel Sano","MIN","139","576","506","114","24","1","37","82","86","63","222","0","0",".225",".315",".494",".809",".339","209.6","","5.30","-0.52","1.60","12164"
"Carlos Correa","HOU","145","604","535","142","28","1","25","76","87","58","135","2","1",".265",".338",".461",".799",".338","121.2","","5.17","-0.57","0.68","14162"
"Max Kepler","MIN","140","590","517","125","29","2","27","87","75","63","103","6","2",".243",".330",".463",".793",".338","197.7","","3.16","0.28","0.80","12144"
"Anthony Santander","BAL","139","593","550","144","33","2","29","74","86","35","110","2","2",".261",".311",".490",".801",".338","171.5","","3.20","-1.25","0.72","14551"
"Andrew McCutchen","PHI","131","576","499","126","23","2","22","83","67","68","122","8","3",".252",".346",".440",".785",".338","207.7","","2.58","-0.81","0.43","9847"
"Lourdes Gurriel Jr.","TOR","144","598","553","151","29","2","27","77","85","32","133","7","3",".273",".317",".480",".797",".338","87.1","","3.41","0.11","0.39","19238"
"Eddie Rosario","CLE","139","580","541","146","28","2","30","81","92","33","91","5","2",".270",".311",".492",".803",".338","107.2","","4.98","0.90","0.62","12155"
"Marcus Semien","TOR","145","643","572","147","30","3","25","90","76","65","116","10","4",".257",".334",".449",".784",".337","124.0","","2.94","0.54","0.48","12533"
"Wil Myers","SDP","137","552","494","123","27","3","25","73","76","52","160","11","4",".249",".325",".466",".791",".336","130.9","","1.89","0.28","0.46","10047"
"Greg Bird","COL","27","112","97","23","6","0","5","14","15","13","29","0","0",".238",".332",".453",".784",".336","600.6","","3.38","2.05","1.52","14131"
